hai है
ke के
mai मैं
nahee नहीं
me में
eka एक
aapa आप
lie लिए
aura और
yaha यह
se से
kee की
kyaa क्या
ki कि
tuma तुम
ho हो
kara कर
mujhe मुझे
ko को
hama हम
thaa था
vaha वह
para पर
hoo हूँ
rahe रहे
bhee भी
rahaa रहा
kaa का
apane अपने
kuchha कुछ
to तो
gayaa गया
isa इस
mere मेरे
theeka ठीक
karane करने
kiyaa किया
saatha साथ
use उसे
ve वे
haa हाँ
yahaa यहाँ
sakate सकते
lekina लेकिन
tumhe तुम्हें
koee कोई
taraha तरह
aba अब
pataa पता
hogaa होगा
sakataa सकता
bahuta बहुत
jaao जाओ
baata बात
hee ही
diyaa दिया
karanaa करना
jaa जा
saba सब
meree मेरी
lagataa लगता
baare बारे
kahaa कहा
vahaa वहाँ
jo जो
jaba जब
baahara बाहर
ise इसे
achchhaa अच्छा
karo करो
chaahie चाहिए
chalo चलो
le ले
do दो
kyo क्यों
apanee अपनी
the थे
kisee किसी
kaama काम
phira फिर
agara अगर
kabhee कभी
vaapasa वापस
kaise कैसे
jaaegaa जाएगा
karate करते
ye ये
chaahate चाहते
aadamee आदमी
basa बस
hame हमें
pahale पहले
samaya समय
aa आ
rahee रही
taka तक
hamaare हमारे
maine मैंने
meraa मेरा
roopa रूप
abhee अभी
karataa करता
mila मिल
yaa या
chaahataa चाहता
usake उसके
usa उस
ghara घर
mata मत
sabhee सभी
are अरे
aapako आपको
jaanaa जाना
sirpha सिर्फ
bada बंद
ne ने
dekho देखो
unhe उन्हें
oha ओह
thee थी
sahee सही
tumhaare तुम्हारे
logo लोगों
jaroorata जरूरत
huaa हुआ
kare करें
vo वो
na न
pyaara प्यार
kauna कौन
bhagavaana भगवान
baada बाद
unhone उन्होंने
de दे
neeche नीचे
dina दिन
aisaa ऐसा
paasa पास
hara हर
pitaa पिता
jaataa जाता
dekhaa देखा
baara बार
dhanyavaada धन्यवाद
kripayaa कृपया
karege करेंगे
loga लोग
jaane जाने
jaanate जानते
sara सर
vaalaa वाला
kyoki क्योंकि
aao आओ
jeevana जीवन
chhoda छोड़
dekha देख
yahee यही
adhika अधिक
matalaba मतलब
aaja आज
madada मदद
hotaa होता
maa माँ
liyaa लिया
raata रात
maara मार
tumane तुमने
aayaa आया
naama नाम
kevala केवल
yaada याद
sabase सबसे
shaayada शायद
gae गए
kaarana कारण
jaanataa जानता
saala साल
doora दूर
hameshaa हमेशा
he हे
hue हुए
hone होने
milaa मिला
usakee उसकी
vaastava वास्तव
jagaha जगह
kama कम
bhaaee भाई
chalaa चला
koshisha कोशिश
shuroo शुरू
laga लग
sacha सच
pasada पसंद
mara मर
ina इन
tumhaaree तुम्हारी
achchhee अच्छी
phona फोन
kahate कहते
dosta दोस्त
shaadee शादी
duniyaa दुनिया
ruko रुको
honaa होना
kaha कह
isake इसके
tumhaaraa तुम्हारा
una उन
lo लो
taiyaara तैयार
bachche बच्चे
unake उनके
adara अंदर
jaldee जल्दी
yadi यदि
jaise जैसे
kala कल
itanaa इतना
apanaa अपना
shree श्री
dege देंगे
khaira खैर
pitaajee पिताजी
oopara ऊपर
raho रहो
aapake आपके
hamaaree हमारी
khuda खुद
usane उसने
gaee गई
chalate चलते
bataao बताओ
dee दी
peechhe पीछे
vaale वाले
haatha हाथ
dvaaraa द्वारा
behatara बेहतर
bakavaasa बकवास
milataa मिलता
ladakee लड़की
vishvaasa विश्वास
dekhane देखने
lagaa लगा
kaara कार
usakaa उसका
mujhase मुझसे
pooree पूरी
naa ना
mahilaa महिला
chala चल
aapakaa आपका
samajha समझ
tumase तुमसे
minata मिनट
ora ओर
binaa बिना
teena तीन
hogee होगी
denaa देना
suno सुनो
bataa बता
jaika जैक
paise पैसे
kahanaa कहना
jaate जाते
banaa बना
kahee कहीं
sochaa सोचा
dono दोनों
aage आगे
kho खो
betaa बेटा
parivaara परिवार
purusha पुरुष
jahaa जहां
dila दिल
sunaa सुना
lene लेने
galata गलत
paagala पागल
jyaadaa ज्यादा
pulisa पुलिस
chale चले
sakatee सकती
yakeena यकीन
buraa बुरा
dara डर
chaahatee चाहती
doosare दूसरे
aataa आता
mahasoosa महसूस
ladakaa लड़का
aane आने
chhote छोटे
isalie इसलिए
khatma खत्म
uha उह
bola बोल
sudara सुंदर
aapakee आपकी
taba तब
bataayaa बताया
huee हुई
samasyaa समस्या
mahodaya महोदय
bhoola भूल
beecha बीच
betee बेटी
kamabakhta कमबख्त
rahane रहने
maapha माफ
pooraa पूरा
kaaphee काफी
maaphee माफी
sira सिर
dhyaana ध्यान
bete बेटे
aaha आह
dene देने
badala बदल
aaga आग
bilkula बिल्कुल
bachcho बच्चों
shahara शहर
dera देर
daala डाल
socha सोच
paanee पानी
vaaha वाह
surakshita सुरक्षित
dekhate देखते
kaee कई
khela खेल
patnee पत्नी
bhugataana भुगतान
mujha मुझ
rakhanaa रखना
maadhyama माध्यम
achchhe अच्छे
chitaa चिंता
aate आते
rahanaa रहना
detaa देता
pahalee पहली
usase उससे
golee गोली
yaara यार
maarane मारने
banaane बनाने
isakaa इसका
isase इससे
dekhanaa देखना
anya अन्य
gira गिर
pichhale पिछले
maaraa मारा
ladake लड़के
vaadaa वादा
kitanaa कितना
hailo हैलो
rahate रहते
itajaara इंतजार
kshamaa क्षमा
paartee पार्टी
subaha सुबह
unakee उनकी
vichaara विचार
ata अंत
karatee करती
thoda थोड़ा
paapaa पापा
alaga अलग
mahaana महान
praapta प्राप्त
raajaa राजा
aae आए
nae नए
yojanaa योजना
karegaa करेगा
sammaana सम्मान
aurata औरत
raaste रास्ते
khusha खुश
dosto दोस्तों
poore पूरे
suna सुन
aadesha आदेश
daalaa डाला
rakho रखो
itanee इतनी
yuddha युद्ध
ghate घंटे
aashaa आशा
chupa चुप
purusho पुरुषों
hamaaraa हमारा
chukaa चुका
mushkila मुश्किल
ummeeda उम्मीद
raastaa रास्ता
aaraama आराम
khaanaa खाना
chota चोट
paane पाने
ladaee लड़ाई
naraka नरक
jaisaa जैसा
priya प्रिय
shukriyaa शुक्रिया
badooka बंदूक
mauta मौत
upayoga उपयोग
saa सा
surakshaa सुरक्षा
pakada पकड़
khushee खुशी
desha देश
saamane सामने
savaala सवाल
vaise वैसे
see सी
jhootha झूठ
shaata शांत
mana मन
jaaree जारी
amerikaa अमेरिका
khaane खाने
puraane पुराने
rakhaa रखा
asalee असली
ema एम
haaya हाय
edee एंडी
aapane आपने
bahana बहन
paravaaha परवाह
rakhane रखने
paryaapta पर्याप्त
bana बन
sageeta संगीत
raha रह
maheene महीने
kadama कदम
hotee होती
rakhe रखें
bhaada भाड़
javaaba जवाब
paisaa पैसा
khada खड़े
agale अगले
bachchaa बच्चा
nashta नष्ट
aasaana आसान
jagala जंगल
bhaaga भाग
pareshaana परेशान
chhotee छोटी
kaisaa कैसा
moorkha मूर्ख
senaa सेना
sthiti स्थिति
chaachaa चाचा
aise ऐसे
saare सारे
labe लंबे
dete देते
rahataa रहता
banaayaa बनाया
vyakti व्यक्ति
hamane हमने
svaagata स्वागत
maalika मालिक
ajeeba अजीब
namaste नमस्ते
istemaala इस्तेमाल
gadagee गंदगी
alavidaa अलविदा
jela जेल
galatee गलती
baate बातें
naukaree नौकरी
tulanaa तुलना
lege लेंगे
prithvee पृथ्वी
jahaaja जहाज
pati पति
kareeba करीब
jeeta जीत
maukaa मौका
hasate हंसते
hirana हिरण
raama राम
chhotaa छोटा
bharosaa भरोसा
gayee गयी
chaara चार
kahaanee कहानी
hamalaa हमला
mishana मिशन
kisa किस
paayaa पाया
rakshaa रक्षा
kahataa कहता
akele अकेले
kapanee कंपनी
itane इतने
milegaa मिलेगा
aatee आती
jaaegee जाएगी
tasveera तस्वीर
chaaro चारों
kaba कब
yaatraa यात्रा
saapha साफ
mahilaao महिलाओं
roka रोक
maanava मानव
saamaana सामान
jalda जल्द
kasama कसम
paidaa पैदा
vaalee वाली
kitane कितने
so सो
havaa हवा
napharata नफरत
isakee इसकी
jaana जान
vajaha वजह
atima अंतिम
saptaaha सप्ताह
barbaada बर्बाद
sikadara सिकंदर
lae िलए
haaka हांक
nayaa नया
mahatvapoorna महत्वपूर्ण
saaraa सारा
itajara इंतज़ार
lagabhaga लगभग
rakha रख
pala पल
nishchita निश्चित
akelaa अकेला
daravaajaa दरवाजा
shaamila शामिल
tarapha तरफ
bebee बेबी
paacha पांच
dino दिनों
laane लाने
jee जी
jaya जय
khilaapha खिलाफ
shabda शब्द
lee ली
skoola स्कूल
milane मिलने
skata स्कॉट
vahee वही
teema टीम
kahane कहने
karanee करनी
aspataala अस्पताल
toda तोड़
kshetra क्षेत्र
bhara भर
spashta स्पष्ट
poochha पूछ
darda दर्द
jeevita जीवित
jaacha जाँच
lagee लगी
laaina लाइन
paalana पालन
beshaka बेशक
hamma हम्म
khoona खून
daktara डॉक्टर
bataanaa बताना
dekhe देखें
baakee बाकी
gadhe गधे
braayana ब्रायन
idara इंदर
jaae जाए
paara पार
bachaa बचा
bataane बताने
maatribhaashaa मातृभाषा
gaye गये
raashtrapati राष्ट्रपति
kitanee कितनी
khaataa खाता
aashcharya आश्चर्य
shana शॉन
hote होते
shareera शरीर
hatyaa हत्या
khabara खबर
marane मरने
majaaka मजाक
jaanatee जानती
chillaa चिल्ला
hissaa हिस्सा
bevakoopha बेवकूफ
trevara ट्रेवर
shakti शक्ति
sadaka सड़क
samaapta समाप्त
shaati शांति
aanaa आना
bhejaa भेजा
kameene कमीने
hoge होंगे
degaa देगा
dasa दस
peeaara पीआर
uttara उत्तर
prakaara प्रकार
maataa माता
jana जॉन
saahaba साहब
lenaa लेना
maamale मामले
bhojana भोजन
vyaapaara व्यापार
aavaaja आवाज
graha ग्रह
kaho कहो
sa सं
raga रंग
dushmana दुश्मन
mrita मृत
koda कोड
haausa हाउस
sabhaala संभाल
phyoorara फ्यूरर
jisa जिस
raajya राज्य
poorva पूर्व
sveekaara स्वीकार
ichchhaa इच्छा
khoja खोज
nishaana निशान
vhaaita व्हाइट
lekara लेकर
chehare चेहरे
aasapaasa आसपास
bachaane बचाने
tejee तेजी
hathiyaara हथियार
shreemaana श्रीमान
chuke चुके
choree चोरी
klika क्लिक
chhaha छह
sadesha संदेश
laayaa लाया
kheda खेद
anumati अनुमति
karake करके
adhyaksha अध्यक्ष
naee नई
mukta मुक्त
saamaanya सामान्य
kamare कमरे
bekaara बेकार
kaaryaalaya कार्यालय
uname उनमें
bheja भेज
sochate सोचते
badhayaa बढ़िया
udana उड़ान
sarakaara सरकार
netaa नेता
khaalee खाली
baitha बैठ
majaboota मजबूत
saathee साथी
paira पैर
jaanemana जानेमन
yeeshu यीशु
dauga डौग
yuvaa युवा
peda पेड़
seedhe सीधे
mammee मम्मी
poochhanaa पूछना
vishesha विशेष
kaptaana कप्तान
sooara सूअर
barta बर्ट
dimaaga दिमाग
vikalpa विकल्प
maidama मैडम
unakaa उनका
taya तय
lakshya लक्ष्य
garma गर्म
khojane खोजने
pada पड़ा
nikala निकल
praarthanaa प्रार्थना
kathina कठिन
khyaala ख्याल
haalaaki हालांकि
dheere धीरे
ladakiyo लड़कियों
gati गति
daravaaje दरवाजे
nirmaana निर्माण
doosaree दूसरी
niyatrana नियंत्रण
samajhate समझते
laayaka लायक
turata तुरंत
doosaro दूसरों
samudra समुद्र
jidaa जिंदा
pheka फेंक
draigana ड्रैगन
aisee ऐसी
pee पी
nabara नंबर
cheharaa चेहरा
buree बुरी
gaayaba गायब
jaatee जाती
khaa खा
aavashyakataa आवश्यकता
jalaa जला
sekada सेकंड
saaree सारी
kaleja कॉलेज
sone सोने
karoge करोगे
peetha पीठ
saina सैन
grantsa ग्रन्ट्स
isame इसमें
poochhaa पूछा
teja तेज
sunishchita सुनिश्चित
maaro मारो
draaiva ड्राइव
savaaree सवारी
jaanakaaree जानकारी
jabaki जबकि
mrityu मृत्यु
pravesha प्रवेश
gabheera गंभीर
toota टूट
tareekaa तरीका
museebata मुसीबत
kutiyaa कुतिया
sevaa सेवा
dakshina दक्षिण
kaata काट
kapada कपड़े
laanata लानत
riporta रिपोर्ट
kharcha खर्च
jaadoo जादू
saavadhaana सावधान
dauraana दौरान
tere तेरे
adhikaara अधिकार
nirnaya निर्णय
lagaane लगाने
paksha पक्ष
sapanaa सपना
nukasaana नुकसान
pahucha पहुँच
paramaanu परमाणु
namaskaara नमस्कार
maaika माइक
kaphee कॉफी
ledee लेडी
sha शॉ
bijalee बिजली
doosaraa दूसरा
bhavishya भविष्य
tareeke तरीके
dukaana दुकान
sakshama सक्षम
chaala चाल
baaree बारी
aakhe आँखें
chalie चलिए
cheeje चीजें
kodee कोडी
alaavaa अलावा
taaki ताकि
chukee चुकी
bhoomi भूमि
bhaagya भाग्य
utho उठो
saata सात
badha बढ़
prabhu प्रभु
aatmaa आत्मा
saparka संपर्क
sabhava संभव
doogaa दूंगा
beemaara बीमार
prejadeta प्रेज़ीडेंट
aaee आई
mile मिले
padataa पड़ता
bhaaree भारी
jameena जमीन
kharaaba खराब
saamanaa सामना
bistara बिस्तर
bulaa बुला
bhaago भागो
viseta विंसेंट
kaarya कार्य
gaava गांव
pahalaa पहला
nikaala निकाल
bheetara भीतर
baithaka बैठक
sahamata सहमत
pele पेले
isee इसी
lete लेते
pashchima पश्चिम
rokane रोकने
saasa सांस
ladako लड़कों
chaachee चाची
dekhege देखेंगे
laao लाओ
laakha लाख
banaanaa बनाना
chaaya चाय
samajhaa समझा
kalpanaa कल्पना
chhata छत
karoogaa करूँगा
prateekshaa प्रतीक्षा
kheecha खींच
bhaagyashaalee भाग्यशाली
jima जिम
okjaa ओक्जा
varsha वर्ष
shaama शाम
prakaasha प्रकाश
aanada आनंद
puraanee पुरानी
maare मारे
shaanadaara शानदार
chhodane छोड़ने
jaananaa जानना
vakta वक्त
uchcha उच्च
jaaege जाएंगे
patra पत्र
bilakula बिलकुल
ijana इंजन
peechhaa पीछा
chitita चिंतित
pleeja प्लीज़
sthaana स्थान
baje बजे
phaisalaa फैसला
jora जोर
jaroora ज़रूर
khoobasoorata खूबसूरत
garva गर्व
seta सेट
samajhe समझे
dhokhaa धोखा
pyaaree प्यारी
soota सूट
raakshasa राक्षस
bhayaanaka भयानक
abhishaapa अभिशाप
baitho बैठो
laala लाल
da डॉ
parivartana परिवर्तन
shikaara शिकार
apa अप
gadabada गड़बड़
saabita साबित
kaarda कार्ड
achaanaka अचानक
dikhaane दिखाने
deevaara दीवार
rediyo रेडियो
uda उड़ा
samudree समुद्री
saima सैम
umra उम्र
samarthana समर्थन
pahachaana पहचान
paa पा
gale गले
hotala होटल
oma ओम
jaaoge जाओगे
meela मील
saudaa सौदा
taayara टायर
klaarka क्लार्क
karaaha कराह
jise जिसे
prati प्रति
janma जन्म
uthaa उठा
jaakara जाकर
maananaa मानना
badalane बदलने
janmadina जन्मदिन
himmata हिम्मत
khataranaaka खतरनाक
becha बेच
dhat धत्
raahula राहुल
usee उसी
manushya मनुष्य
pharka फर्क
badhaaee बधाई
raanee रानी
kamajora कमजोर
talaasha तलाश
sochataa सोचता
baiga बैग
lephtineta लेफ्टिनेंट
mukhya मुख्य
sake सके
vyasta व्यस्त
dekhabhaala देखभाल
dainee डैनी
milee मिली
dekhakara देखकर
teevee टीवी
jayaadaa ज़्यादा
letaa लेता
milate मिलते
dooree दूरी
bacha बच
sunane सुनने
tumako तुमको
ladane लड़ने
socho सोचो
kapee कॉपी
helo हेलो
saaimana साइमन
liye लिये
samaaja समाज
taura तौर
kaanoona कानून
badalaa बदला
saketa संकेत
rakta रक्त
phana फ़ोन
bulaayaa बुलाया
devataao देवताओं
kavara कवर
hita हिट
kholo खोलो
kie किए
aaye आये
dikhaaee दिखाई
ilaaja इलाज
dalara डॉलर
bama बम
premee प्रेमी
maastara मास्टर
ela एल
pakkaa पक्का
poochho पूछो
visphota विस्फोट
imaarata इमारत
raajakumaaree राजकुमारी
sajjano सज्जनों
karoda करोड़
haala हाल
chalataa चलता
baajaara बाजार
steshana स्टेशन
laa ला
janarala जनरल
keejie कीजिए
ro रो
poochhane पूछने
elijaabetha एलिजाबेथ
haara हार
aakho आँखों
haatho हाथों
hamale हमले
seeta सीट
pranaalee प्रणाली
aakhiree आखिरी
deejie दीजिए
sela सेल
laanaa लाना
erika एरिक
ailisa ऐलिस
bhaarata भारत
pe पे
dala दल
dikhaa दिखा
sharaaba शराब
khaasa खास
agalee अगली
bolo बोलो
ruka रुक
guda गुड
yoddhaa योद्धा
hato हटो
prayoga प्रयोग
sakhyaa संख्या
raajaneeti राजनीति
varsho वर्षों
sachiva सचिव
taakata ताकत
lagegaa लगेगा
milanaa मिलना
chaakoo चाकू
mahaaraanee महारानी
lage लगे
pradaana प्रदान
rahegaa रहेगा
baala बाल
sho शो
unase उनसे
bheeda भीड़
bolate बोलते
manaa मना
vakeela वकील
saboota सबूत
cheejo चीजों
elana एलन
maanaa माना
stara स्तर
sau सौ
sheersha शीर्ष
soochee सूची
samooha समूह
aapase आपसे
sakaa सका
jaraa जरा
pareekshana परीक्षण
ameera अमीर
aadhaa आधा
idu इंदु
tima टिम
svaana स्वान
uma उम
itihaasa इतिहास
isaana इंसान
vriddhi वृद्धि
shubha शुभ
chora चोर
vimaana विमान
toophaana तूफान
bhoota भूत
churaa चुरा
kamaadara कमांडर
ghatee घंटी
ghuraghuraanaa घुरघुराना
karaahanaa कराहना
baika बैंक
jaaye जाये
patthara पत्थर
sabako सबको
adhikaaree अधिकारी
ai ऐ
aparaadha अपराध
oorjaa ऊर्जा
cheeja चीज
prastaava प्रस्ताव
gupta गुप्त
adbhuta अद्भुत
khulaa खुला
chhuttee छुट्टी
pairo पैरों
chheda छेद
tukada टुकड़ा
dhakkaa धक्का
hannaa हन्ना
seemaa सीमा
gareeba गरीब
kutte कुत्ते
chalaane चलाने
peene पीने
shreematee श्रीमती
lagaanaa लगाना
aaie आइए
daalo डालो
nikalanaa निकलना
sochanaa सोचना
jaaoogaa जाऊँगा
chaahege चाहेंगे
aadamiyo आदमियों
chubana चुंबन
huha हुह
likhaa लिखा
baithe बैठे
maujooda मौजूद
rikarda रिकॉर्ड
vyavahaara व्यवहार
havaaee हवाई
jaga जंग
seekhaa सीखा
hasee हंसी
ejeta एजेंट
abhimanyu अभिमन्यु
phanta फ़ॉन्ट
prema प्रेम
adhyayana अध्ययन
dhana धन
needa नींद
bajaaya बजाय
bharaa भरा
idhara इधर
sainika सैनिक
sapane सपने
davaa दवा
majaboora मजबूर
uthaayaa उठाया
gaharee गहरी
chetaavanee चेतावनी
ghada घड़ी
paarita पारित
bheekha भीख
raka रॉक
bulaao बुलाओ
alaarma अलार्म
jooditha जूडिथ
jeree जेरी
