aba 阿爸
achangzu 阿昌族
adou 阿斗
afei 阿飞
afuhan 阿富汗
ahong 阿訇
alaboshuzi 阿拉伯数字
alaboyu 阿拉伯语
ama 阿妈
amen 阿门
aQ 阿Ｑ
asipilin 阿司匹林
ati 阿嚏
ayi 阿姨
a 啊
aya 啊呀
ayo 啊哟
ai 癌
aiya 唉呀
aiyo 哎哟
aigao 哀告
aiqiu 哀求
aibingbisheng 哀兵必胜
aichou 哀愁
aidao 哀悼
aige 哀歌
aihao 哀嚎
aijiao 哀叫
aiku 哀哭
ailian 哀怜
aiming 哀鸣
aiqi 哀戚
aishang 哀伤
aisi 哀思
aitan 哀叹
aitong 哀恸
aiwan 哀婉
aiyuan 哀怨
aiyue 哀乐
aishengtanqi 唉声叹气
aiji 埃及
aibianer 挨边儿
aici 挨次
aigeer 挨个儿
aihu 挨户
aijianer 挨肩儿
aijin 挨近
aizou 挨揍
aie 挨饿
aipi 挨批
aizheng 挨整
aiai 皑皑
aibian 癌变
aixibao 癌细胞
aizhong 癌肿
aidundun 矮墩墩
aipang 矮胖
aixiao 矮小
aizi 矮子
aiwowo 艾窝窝
aizibing 艾滋病
aixin 爱心
aibushishou 爱不释手
aicairuming 爱财如命
aicheng 爱称
aidabuli 爱答不理
aidai 爱戴
aierlan 爱尔兰
aifu 爱抚
aiguo 爱国
aiguozhuyi 爱国主义
aihe 爱河
aijiang 爱将
aikesiguang 爱克斯光
aimei 爱美
aimianzi 爱面子
aimonengzhu 爱莫能助
aimu 爱慕
ainv 爱女
aiqing 爱情
airen 爱人
aishen 爱神
aiwujiwu 爱屋及乌
aixi 爱惜
aizeng 爱憎
aizengfenming 爱憎分明
aikou 碍口
ainan 碍难
aishi 碍事
aishouaijiao 碍手碍脚
aiyan 碍眼
anlihui 安理会
anmi 安谧
anmian 安眠
anfenshouji 安分守己
anmianyao 安眠药
ankang 安康
anmingaoshi 安民告示
anning 安宁
anpai 安排
an 埯
anbudangche 安步当车
ancha 安插
andi 安抵
anding 安定
andu 案牍
andun 安顿
anfang 暗房
anfen 安分
anfu 安抚
anhao 安好
anhui 安徽
anjia 安家
anjian 暗箭
anjing 安静
anju 安居
anjugongcheng 安居工程
anjuleye 安居乐业
anle 安乐
anlesi 安乐死
anlewo 安乐窝
anleyi 安乐椅
anqin 安寝
anquan 安全
anquandai 安全带
anquandao 安全岛
anquanfa 安全阀
anquangan 安全感
anquanmao 安全帽
anquanmen 安全门
anquantao 安全套
anquanxishu 安全系数
anran 岸然
anrupanshi 安如磐石
anrutaishan 安如泰山
anshe 安设
anshen 安神
